station_id,year,month,obs_mm_day,CHIRPS,ERA5_LAND,GPM_IMERG,MERRA2,PERSIANN_CDR,TERRACLIMATE,zone_name,zone_id
WA001,2014,6,0.0,0.103047937,0.001993468,0.034504771,,0.115699448,0.039568074,Soudanian,3
WA001,2014,7,0.9,0.756367505,0.125510573,0.647923708,,0.99688834,1.183257937,Soudanian,3
WA001,2014,8,4.72,4.575568676,2.049803019,3.820556402,,6.580770969,4.566233635,Soudanian,3
WA001,2014,9,4.47,4.327158451,1.853818655,2.729071379,,5.673785686,3.197795153,Soudanian,3
WA001,2014,10,0.7,0.491642118,0.130357102,0.188895077,,0.499812186,1.094653487,Soudanian,3
WA001,2014,11,0.35,0.007128736,0.004109385,0.063785769,,0.150421083,0.0,Soudanian,3
WA001,2014,12,0.86,0.036953013,0.010232154,0.024757152,,0.215655267,0.0,Soudanian,3
WA001,2015,1,4.13,0.049892321,0.002671852,0.057028614,,0.075972021,0.0,Soudanian,3
WA001,2015,2,4.77,0.008898853,0.003436769,0.117047682,,0.084311217,0.055836957,Soudanian,3
WA001,2015,3,1.99,0.000302945,0.001202976,0.008252384,,0.02336723,0.0,Soudanian,3
WA001,2015,4,1.88,0.000208556,0.001765511,0.006,,0.014028998,0.0,Soudanian,3
WA001,2015,5,1.04,0.001505939,0.011229123,0.043514304,,0.033573493,0.0,Soudanian,3
WA001,2015,6,2.42,0.094398998,0.001066489,0.004504769,,0.123351574,0.072901413,Soudanian,3
WA001,2015,7,2.73,1.765698075,1.427910447,2.809304476,,2.768473387,1.675206304,Soudanian,3
WA001,2015,8,2.97,9.291231155,8.137681007,7.240264416,,8.539107323,9.247561455,Soudanian,3
WA001,2015,9,0.79,7.934936047,4.215678692,4.490813255,,5.049594879,2.972856283,Soudanian,3
WA001,2015,10,2.56,1.296490192,1.071202159,1.640252471,,2.236863375,2.106812954,Soudanian,3
WA001,2015,11,2.65,0.030179562,0.008640271,0.049514305,,0.685999095,0.0,Soudanian,3
WA001,2015,12,0.28,0.038009569,0.00175258,0.044271462,,0.077448122,0.002015514,Soudanian,3
